Teff_K,Lstar_Lsun
6295.905,1.4477
6217.6186,0.6126
6203.3847,0.922
6104.6963,0.4363
6047.4049,1.4229
6063.418,0.8169
5915.1483,0.2871
5945.9884,0.4953
5903.2867,63.2998
5888.3411,35.7719
5847.2407,1.6369
5686.6384,0.2123
5639.9596,0.1266
5648.6016,1.5002
5600.8164,35.0692
5572.3486,2.0273
5465.5944,0.1125
5497.6206,0.1593
5384.9356,1.5153
5380.191,35.1289
5358.8401,5.9826
5353.5024,71.8136
5329.7253,3.7441
5314.7151,2.0491
5268.8616,0.1038
5213.6544,1.5833
5142.4849,35.3743
5136.4355,7.7793
5140.308,4.8489
5140.5871,13.4644
5102.63,76.3339
5119.4057,2.5613
5038.5775,0.0788
4928.7731,37.3202
4958.1012,8.6374
5017.2266,4.5465
4886.9865,20.678
4880.2254,13.5214
4884.3769,66.8527
4817.4437,0.0622
4703.0642,0.0461
4640.0283,31.8769
4690.8637,21.7525
4739.6656,11.61
4625.7944,74.6793
4718.3148,14.9207
4611.5605,148.4564
4508.3648,0.043
4468.6741,33.1446
4427.6148,0.0317
4398.0521,91.5667
4366.0258,0.0053
4272.7938,45.6633
4224.1952,0.0328
4195.2191,0.0161
4200.5568,0.0076
4147.1797,99.7877
4123.5412,0.0252
4087.8369,59.0312
4137.5718,0.005
4005.7303,0.004
3971.0352,0.0176
3944.7572,0.009
3926.1984,95.7615
3953.9545,0.0119
3992.386,0.0329
3851.4704,84.2657
3847.2003,0.0054
3821.5793,131.7012
3734.92,0.0184
3720.9253,0.0032
3689.4709,0.013
3629.4217,110.542
3630.845,0.0061
3592.8202,0.002
3533.9708,165.5866
3486.6379,0.01
3450.9896,0.0037
3452.2096,0.0151
3374.7366,0.0057
3362.5361,0.0019
3292.0783,176.5165
3266.4573,0.0094
3257.9169,0.0033
3255.7819,0.0151
3147.2484,0.0065
3140.2932,0.0045
3060.0658,0.0018
3052.9488,217.2282
3008.7221,0.0107
2930.1815,0.0025
2918.5641,0.0062
2936.4897,0.0038
2834.1027,0.0051
2924.8438,0.0125
2867.9082,0.0018
2828.765,250.3797
2758.3072,0.0087
2697.6098,0.0026
2673.3782,0.0039
2642.3556,0.006
2636.6073,0.0013
2551.204,301.1035
2583.2302,0.0118
2572.5548,429.4488
2482.5762,0.0021
2455.1252,0.004
2442.9247,0.0067
2303.2969,320.3903
2243.989,0.0024
2212.2593,0.0033
2140.2002,0.0049
2177.5642,0.0013
2101.3111,289.4698
2113.5116,0.007
1961.6834,0.0026
1950.7114,0.0042
1910.6786,396.1566
1878.6523,0.0029
1846.6261,0.0016
1707.8456,0.0023
1472.9863,0.0024
1472.9863,0.0018
1238.127,0.0028
1070.8787,0.0024
973.3765,0.002
5201.7544,15.6213
4745.614,17.6227
4412.2807,40.9794
4078.9474,67.9925
4271.9298,52.1528
3938.5965,76.7038
3973.6842,115.5652
4096.4912,136.8125
3868.4211,158.1076
3500,244.0251
3166.6667,211.1579
2657.8947,282.0082
5149.1228,6.249
5254.386,7.7634
5271.9298,5.03
5114.0351,3.259
5394.7368,2.3821
5815.7895,2.1631
5745.614,1.5066
6114.0351,1.075
6219.2982,0.5743
6008.7719,0.3633
5850.8772,0.2924
5640.3509,0.2243
5745.614,0.253
5587.7193,0.172
5289.4737,0.1088
5078.9474,0.0876
4885.9649,0.0815
4868.4211,0.0722
4570.1754,0.0528
4517.5439,0.035
4307.0175,0.0395
4114.0351,0.0415
3991.2281,0.0244
3815.7895,0.0192
3798.2456,0.0211
3605.2632,0.0244
3535.0877,0.017
3622.807,0.0162
3657.8947,0.017
3745.614,0.0147
3938.5965,0.0187
4149.1228,0.0183
4008.7719,0.0144
3973.6842,0.0127
3780.7018,0.0116
3833.3333,0.0087
3815.7895,0.0071
3991.2281,0.0098
4026.3158,0.0084
4271.9298,0.0084
4149.1228,0.0068
3956.1404,0.0062
3780.7018,0.0045
3447.3684,0.0065
3236.8421,0.0077
3096.4912,0.0077
2868.4211,0.0077
2833.3333,0.0084
2973.6842,0.0084
2991.2281,0.0077
3149.1228,0.011
3324.5614,0.0102
3412.2807,0.0127
3482.4561,0.0137
3535.0877,0.0108
3394.7368,0.0089
3219.2982,0.0063
3008.7719,0.0055
2938.5965,0.0049
2885.9649,0.0042
2780.7018,0.0038
2710.5263,0.0031
2850.8772,0.0029
2921.0526,0.0031
2956.1404,0.0034
3359.6491,0.0041
3289.4737,0.0042
3289.4737,0.0034
3324.5614,0.0031
3324.5614,0.0027
3447.3684,0.0027
2973.6842,0.0014
2885.9649,0.0021
2412.2807,342.0042
2394.7368,282.0082
2201.7544,385.8224
2061.4035,318.1397
2114.0351,256.0808
3570.1754,226.9974
2973.6842,249.9803
4464.9123,107.5013
5043.8596,74.8765
5078.9474,37.2118
5535.0877,40.9794
5043.8596,44.0534
4798.2456,38.1199
4938.5965,21.8934
4991.2281,8.7581
6219.2982,0.7488
6184.2105,1.2727
5956.1404,2.1116
5587.7193,2.2159
2552.6316,0.005
2412.2807,0.0046
2166.6667,0.0049
2324.5614,0.0031
2394.7368,0.0026
2517.5439,0.0023
2622.807,0.002
2745.614,0.0024
2236.8421,0.0052
2622.807,0.0063
2956.1404,0.0024
3219.2982,0.0059
3482.4561,0.0047
3710.5263,0.007
3201.7544,0.0062
3236.8421,0.0065
1307.0175,0.0027
1061.4035,0.0028
1043.8596,0.002
4201.7544,0.0206
4307.0175,0.0275
4868.4211,0.0595
5043.8596,0.0688
4675.4386,0.0541
5271.9298,2.7529
5166.6667,2.27
3377.193,178.3647
3552.6316,130.3717
2149.1228,325.9035
6096.4912,0.5606
5307.0175,0.1288
5008.7719,11.418
4833.3333,22.9751
4605.2632,27.8629
4447.3684,28.5429
2043.8596,0.0057
2973.6842,0.0154
5447.3684,82.4575
4833.3333,16.0025
4254.386,95.2923
3587.7193,182.7175
5587.7193,0.1012
5763.1579,0.1352
5394.7368,0.1352
5254.386,0.0919